ID,Title,Rank,Score,ScoredBy,Popularity,Members,Favorites,Season,Episodes
397,Seikai no Senki II,736,7.89,9435,3277,18104,103,86,10
2582,Soukou Kihei Votoms,910,7.81,3551,3601,14991,306,13,52
31884,Mahoutsukai Precure!,3278,7.13,1835,4767,7500,57,144,50
34148,Nyanko Days,5308,6.66,20833,1992,44590,110,148,12
36470,Tada-kun wa Koi wo Shinai,1434,7.6,53493,805,133666,565,153,13
7,Witch Hunter Robin,2491,7.32,33841,1251,83852,552,90,26
24855,Girlfriend (Kari),8274,6,8825,2391,32767,46,139,12
872,Mahou Shoujo-tai Arusu,3156,7.16,4803,2943,22488,74,97,40
30016,Nanbaka,2035,7.42,64996,655,162699,1151,147,13
35712,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,6292,6.45,52028,844,129381,267,151,10
6676,Asura Cryin' 2,2186,7.38,27974,1774,52924,111,119,13
1057,Ippatsu Kiki Musume,6834,6.34,1964,5732,4791,9,79,16
9241,Super Robot Taisen OG: The Inspector,2525,7.31,2617,4820,7323,43,123,26
37722,Uchi no Maid ga Uzasugiru!,3293,7.13,26564,1516,66617,152,155,12
31737,Gakusen Toshi Asterisk 2nd Season,2623,7.28,127303,428,229422,607,145,12
1137,Mushrambo,3566,7.06,6020,3960,11796,66,80,32
33184,Battle Girl High School,8566,5.9,3386,3286,17998,47,150,12
37496,Double Decker! Doug & Kirill,3906,6.97,7695,2720,25743,64,155,13
36565,Major 2nd,1368,7.62,6121,3474,16202,56,153,25
205,Samurai Champloo,101,8.5,353053,70,667104,23164,97,26
5945,Element Hunters,5137,6.69,2460,4087,10996,14,118,39
21881,Sword Art Online II,3328,7.12,658487,18,1033710,9012,138,24
36029,Hakyuu Houshin Engi,9261,5.66,2397,3500,15761,20,152,23
35790,Tate no Yuusha no Nariagari,393,8.15,220749,142,465433,10112,156,25
33531,Juushinki Pandora,6342,6.44,4554,2822,24371,28,153,26
6512,Nyan Koi!,2639,7.28,103726,534,195040,582,119,12
1442,Alexander Senki,8918,5.79,2359,5389,5568,22,78,13
1587,Tenpou Ibun: Ayakashi Ayashi,3932,6.97,3489,3771,13384,21,107,25
10790,Kore wa Zombie Desu ka? of the Dead,1223,7.67,157882,347,272861,714,129,10
23201,Sengoku Basara: Judge End,4074,6.93,7766,3053,20788,40,138,12
9736,Astarotte no Omocha!,5028,6.71,51479,1002,107548,231,125,12
22101,Soredemo Sekai wa Utsukushii,966,7.78,83767,580,180550,1589,137,12
1221,Demashita! Powerpuff Girls Z,6473,6.41,7026,3105,20061,122,106,52
3270,IGPX: Immortal Grand Prix (2005),3092,7.17,6584,3604,14956,70,103,13
718,Yume de Aetara (TV),5956,6.53,2056,5554,5180,5,75,16
32881,Tiger Mask W,3614,7.05,4242,3473,16169,51,147,38
375,Bannou Bunka Neko-Musume (1998),5481,6.62,1959,5477,5353,7,72,12
31636,Dagashi Kashi,5080,6.7,112646,356,265701,710,144,12
36873,Back Street Girls: Gokudolls,4018,6.94,24038,1612,60531,178,154,10
1912,Marginal Prince: Gekkeiju no Ouji-tachi,8239,6,2910,4118,10697,18,107,13
36316,Shichisei no Subaru,7245,6.26,24551,1410,72897,132,154,12
33371,Atom: The Beginning,4116,6.91,8250,2827,24269,39,149,12
37517,Happy Sugar Life,3642,7.04,42009,998,108009,1012,154,12
20555,SoniAni: Super Sonico The Animation,7594,6.18,20770,1571,62250,153,136,12
32947,Battery,9004,5.76,14505,2113,40366,41,146,11
37105,Grand Blue,142,8.42,103779,479,215202,4112,154,12
32607,Gi(a)rlish Number,3986,6.95,27609,1322,79367,146,147,12
2795,Dragonaut: The Resonance,4937,6.73,25840,1616,60234,104,111,25
33392,Gakuen Handsome,5960,6.52,9300,3038,20869,101,147,12
35069,Sekai no Yami Zukan,11011,4.66,4965,3330,17471,22,149,13
1180,Hyper Police,3760,7.01,2007,4843,7268,34,69,25
25879,Working!!!,443,8.11,80919,698,153943,797,142,13
12119,Natsu-iro Kiseki,3685,7.03,12029,2311,34687,71,129,12
33532,Twin Angel Break,8465,5.94,2196,4289,9800,12,149,12
2281,Jikuu Tantei Genshi-kun,6735,6.36,3461,4869,7086,16,75,39
33037,Tsukiuta. The Animation,3574,7.06,4903,3272,18058,173,146,13
4752,Vampire Knight: Guilty,2092,7.41,159719,369,259216,3229,115,13
34543,Dive!!,7659,6.16,10190,2380,32921,54,150,12
35860,Karakai Jouzu no Takagi-san,720,7.9,95490,463,219382,2233,152,12
5504,Shinkyoku Soukai Polyphonica Crimson S,2757,7.25,7518,3029,20975,43,117,12
36652,Piano no Mori (TV),1913,7.45,17379,1745,54307,140,153,12
8525,Kami nomi zo Shiru Sekai,848,7.84,230743,172,421042,5185,123,12
6974,Seikimatsu Occult Gakuin,3408,7.1,35609,1274,82494,185,122,13
8424,MM!,2795,7.24,95600,584,179493,661,123,12
16498,Shingeki no Kyojin,110,8.48,1149210,2,1679742,79312,133,25
142,Kamikaze Kaitou Jeanne,1664,7.52,20560,2114,40293,436,76,44
1604,Katekyo Hitman Reborn!,276,8.27,164159,213,383310,15045,107,203
36902,Mahou Shoujo Ore,5103,6.7,15083,1682,57037,101,153,12
5262,Shugo Chara!! Doki,1610,7.54,39908,1355,76594,819,115,51
112,Chou Henshin Cosprayers,10681,5.01,2411,4982,6760,5,96,8
32171,Ange Vierge,7885,6.11,10271,2186,38646,65,146,12
3710,Hakaba Kitarou,3940,6.96,2829,4486,8796,31,112,11
1316,Idaten Jump,3911,6.97,2805,5403,5559,39,103,52
635,Juubee-chan: Lovely Gantai no Himitsu,5045,6.71,6062,3675,14265,28,77,13
33222,Fudanshi Koukou Seikatsu,5393,6.64,22168,1977,45092,77,146,12
1453,Maison Ikkoku,409,8.13,9991,2144,39560,1065,25,96
10378,Shinryaku!? Ika Musume,1521,7.57,33450,1524,65909,135,127,12
5231,Inazuma Eleven,1223,7.67,52324,1135,92748,2061,115,127
37481,Ongaku Shoujo (TV),8252,6.01,2645,4135,10665,9,154,12
11757,Sword Art Online,1611,7.54,1101511,3,1592172,56474,130,25
32648,Handa-kun,1869,7.46,63841,729,147741,480,146,12
202,Wolf's Rain,769,7.88,98383,414,234460,5225,92,26
32282,Shokugeki no Souma: Ni no Sara,154,8.41,319260,110,530775,2746,146,13
3101,F-Zero: Falcon Densetsu,6155,6.48,1513,5206,6110,53,95,51
32906,Bishoujo Yuugi Unit Crane Game Girls,11100,4.44,2394,5234,6038,5,145,13
9712,Maria†Holic Alive,3678,7.03,22164,1816,51141,64,125,12
27815,Cardfight!! Vanguard G,4980,6.72,3625,4465,8907,32,139,48
85,Mobile Suit Zeta Gundam,609,7.98,21649,1995,44401,1412,21,50
6774,Kuuchuu Buranko,565,8.01,17282,1552,63052,976,119,11
23283,Zankyou no Terror,360,8.18,339910,83,622748,14203,138,11
34257,Cinderella Girls Gekijou,5606,6.59,3947,3837,12709,23,149,13
228,Jigoku Shoujo,1095,7.72,92260,386,245918,3046,103,26
14277,Chitose Get You!!,6793,6.35,7294,3452,16385,14,130,26
11769,Gokujo.: Gokurakuin Joshikou Ryou Monogatari,7242,6.25,9504,2876,23423,28,128,12
38524,Shingeki no Kyojin Season 3 Part 2,5,9.1,205987,219,379773,12002,157,10
31771,Amanchu!,2494,7.31,24718,1428,71621,280,146,12
21809,Kenzen Robo Daimidaler,7321,6.24,16669,1856,49539,70,137,12
37584,Bakumatsu,8633,5.88,2111,3675,14288,19,155,12
167,Scrapped Princess,1884,7.46,30855,1381,74730,425,93,24
8516,Baka to Test to Shoukanjuu Ni!,769,7.87,160830,354,267369,1179,126,13
34823,Souryo to Majiwaru Shikiyoku no Yoru ni...,11026,4.64,10037,2461,31027,91,149,12
11235,Amagami SS+ Plus,1620,7.53,61236,990,108617,298,128,13
269,Bleach,746,7.88,500149,23,970375,45230,99,366
86,Mobile Suit Gundam ZZ,5011,6.72,11835,2729,25630,85,25,47
